vin,avg_battery,battery_std,min_battery,max_battery,total_records,avg_latitude,avg_longitude
MD9EMHDL23J217048,78.6,23.25,19.56,100.0,146,28.75,77.2
MD9EMHDL23J217050,44.59,0.0,44.59,44.59,192,28.63,77.04
MD9EMHDL23J217055,82.64,25.14,30.24,100.0,169,13.14,80.29
MD9EMHDL23J217056,84.3,22.32,15.6,100.0,176,28.73,77.15
MD9EMHDL23J217057,82.68,23.37,19.74,100.0,175,28.6,77.32
MD9EMHDL23J217060,83.07,23.58,7.03,100.0,147,28.53,77.31
MD9EMHDL23J217068,47.24,0.0,47.24,47.24,4,22.79,72.96
MD9EMHDL23J217071,62.48,23.08,5.53,99.99,132,28.64,77.11
MD9EMHDL23J217087,64.21,20.63,11.62,100.0,140,13.06,80.18
MD9EMHDL23J217091,86.16,16.29,23.77,100.0,136,17.39,78.57
MD9EMHDL23J217108,64.76,22.61,33.74,100.0,144,13.11,80.19
MD9EMHDL23J217121,86.55,18.62,5.01,100.0,149,28.68,77.07
MD9EMHDL23J217124,74.36,28.65,2.72,100.0,161,28.52,77.26
MD9EMHDL23J217178,84.27,24.06,28.49,100.0,142,28.61,77.1
MD9EMHDL23J217185,89.58,15.69,30.0,100.0,172,28.6,77.4
MD9EMHDL23J217186,91.07,18.21,12.81,100.0,190,28.49,77.29
MD9EMHDL23J217188,85.41,18.01,26.45,100.0,149,28.69,77.07
MD9EMHDL23J217193,90.22,11.34,58.56,100.0,134,28.68,77.17
MD9EMHDL23J217197,93.2,13.87,48.64,100.0,151,28.61,77.11
MD9EMHDL23J217203,67.12,20.38,25.03,99.99,78,28.62,77.25
MD9EMHDL23J217206,60.94,0.0,60.94,60.94,14,28.6,77.24
MD9EMHDL23J217209,80.72,16.69,53.37,100.0,13,28.69,77.03
MD9EMHDL23J217213,86.58,20.72,7.77,100.0,151,28.6,77.12
MD9EMHDL23J217216,77.0,29.11,1.34,100.0,179,28.59,77.07
MD9EMHDL23J217218,95.2,5.83,72.26,100.0,129,28.61,77.03
MD9EMHDL23J217219,58.59,25.4,35.41,81.78,6,28.66,77.2
MD9EMHDL23J217222,65.86,25.85,5.86,100.0,144,17.47,78.35
MD9EMHDL23J217230,85.16,20.68,2.71,100.0,159,28.62,77.09
MD9EMHDL23J217234,88.9,19.03,18.71,100.0,143,28.56,77.04
MD9EMHDL23K217001,81.33,23.98,15.07,100.0,145,12.98,80.24
MD9EMHDL23K217004,78.69,19.41,16.58,100.0,105,12.97,80.14
MD9EMHDL23K217011,92.67,12.69,47.41,100.95,161,13.07,80.18
MD9EMHDL23K217019,100.0,0.0,100.0,100.0,100,28.45,77.14
MD9EMHDL23K217020,80.02,16.71,44.11,100.0,120,28.69,77.13
MD9EMHDL23K217026,76.9,24.25,1.55,100.74,173,28.6,77.13
MD9EMHDL23K217027,25.64,0.0,25.64,25.64,4,21.28,72.95
MD9EMHDL23K217028,77.61,25.51,4.61,100.0,171,28.77,77.18
MD9EMHDL23K217039,99.19,2.07,92.26,100.0,171,28.66,77.07
MD9EMHDL23K217044,85.93,18.41,21.35,100.0,178,28.54,77.29
MD9EMHDL23K217047,95.77,0.0,95.77,95.77,4,19.23,73.16
MD9EMHDL23K217052,52.55,0.0,52.55,52.55,4,28.64,77.04
MD9EMHDL23K217054,36.94,16.61,0.55,49.54,114,17.3,78.43
MD9EMHDL23K217058,79.34,0.0,79.34,79.34,4,19.1,73.01
MD9EMHDL23K217066,75.16,25.72,9.06,100.0,134,17.36,78.45
MD9EMHDL23K217070,60.77,0.11,60.47,60.91,74,17.51,78.44
MD9EMHDL23K217071,67.65,18.25,41.08,100.0,104,28.49,77.17
MD9EMHDL23K217079,100.0,0.0,100.0,100.0,164,28.63,77.1
MD9EMHDL23K217080,80.55,0.0,80.54,80.55,111,17.5,78.34
